Set No.,Set Name,Player,Country,Age,Specialism,Batting,Bowling,IPL,C/U/A,Base Price
30,AL4,Gurkeerat Singh,India,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,41,Capped,50
31,FA4,Sean Abbott,Australia,30,BOWLER,RHB,RIGHT ARM Fast,2,Capped,75
31,FA4,Alzarri Joseph,West Indies,25,BOWLER,RHB,RIGHT ARM Fast,3,Capped,75
31,FA4,Riley Meredith,Australia,25,BOWLER,RHB,RIGHT ARM Fast,5,Capped,100
31,FA4,Tim Southee,New Zealand,33,BOWLER,RHB,RIGHT ARM Fast,43,Capped,150
32,UBA4,Rahul Buddhi,India,24,BATSMAN,LHB,RIGHT ARM Leg Spin,0,Uncapped,20
33,UAL4,Ayush Badoni,India,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,Uncapped,20
33,UAL4,Aneeshwar Gautam,India,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
33,UAL4,Benny Howell,England,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,Uncapped,40
34,UWK3,Baba Indrajith,India,27,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
35,UFA4,Kuldip Yadav,India,25,BOWLER,LHB,LEFT ARM Fast,1,Uncapped,20
38,AL5,Chamika Karunaratne,Sri Lanka,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Capped,50
38,AL5,David Willey,England,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,3,Capped,200
39,FA5,Varun Aaron,India,32,BOWLER,RHB,RIGHT ARM Fast,50,Capped,50
40,UBA5,R Samarth,India,29,BATSMAN,RHB,RIGHT ARM Off Spin,0,Uncapped,20
40,UBA5,Abhijeet Tomar,India,27,BATSMAN,RHB,RIGHT ARM Off Spin,0,Uncapped,20
41,UAL5,Aman Khan,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
41,UAL5,Pradeep Sangwan,India,31,ALL-ROUNDER,RHB,LEFT ARM Fast,39,Uncapped,20
47,UBA6,Ramesh Kumar,India,23,BATSMAN,LHB,Not specified,0,Uncapped,20
47,UBA6,Pratham Singh,India,29,BATSMAN,LHB,RIGHT ARM Off Spin,0,Uncapped,20
48,UAL6,Writtick Chatterjee,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,Uncapped,20
48,UAL6,Hrithik Shokeen,India,21,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,Uncapped,20
48,UAL6,Shashank Singh,India,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,Uncapped,20
50,AL7,Kyle Mayers,West Indies,29,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,Capped,50
51,UAL7,Karan Sharma,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,Uncapped,20
52,UFA7,Baltej Dhanda,India,31,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
52,UFA7,Saurabh Dubey,India,24,BOWLER,RHB,LEFT ARM Fast Medium,0,Uncapped,20
53,UAL8,Ansh Patel,India,20,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,0,Uncapped,20
54,UFA8,Ashok Sharma,India,19,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
57,UAL10,Arjun Tendulkar,India,22,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,0,Uncapped,20
59,UAL12,Shubham Garhwal,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
60,UAL13,Anunay Singh,India,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
2,BA1,Suresh Raina,India,35,BATSMAN,LHB,RIGHT ARM Off Spin,205,Capped,200
2,BA1,Steve Smith,Australia,32,BATSMAN,RHB,-,103,Capped,200
3,AL1,Shakib Al Hasan,Bangladesh,35,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,71,Capped,200
3,AL1,Mohammad Nabi,Afghanistan,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,17,Capped,100
6,SP1,Amit Mishra,India,39,BOWLER,RHB,RIGHT ARM Leg Spin,154,Capped,150
6,SP1,Adil Rashid,England,34,BOWLER,RHB,RIGHT ARM Leg Spin,1,Capped,200
6,SP1,Imran Tahir,South Africa,43,BOWLER,RHB,RIGHT ARM Leg Spin,59,Capped,200
6,SP1,Mujeeb Zadran,Afghanistan,21,BOWLER,RHB,RIGHT ARM Off Spin,19,Capped,200
6,SP1,Adam Zampa,Australia,29,BOWLER,RHB,RIGHT ARM Leg Spin,14,Capped,200
7,UBA1,C.Hari Nishaanth,India,25,BATSMAN,LHB,RIGHT ARM Off Spin,0,Uncapped,20
7,UBA1,Rajat Patidar,India,28,BATSMAN,RHB,RIGHT ARM Off Spin,4,Uncapped,20
9,UWK1,Mohammed Azharuddeen,India,28,WICKETKEEPER,RHB,-,0,Uncapped,20
9,UWK1,K.S. Bharat,India,28,WICKETKEEPER,RHB,-,8,Uncapped,20
9,UWK1,N. Jagadeesan,India,26,WICKETKEEPER,RHB,-,5,Uncapped,20
9,UWK1,Vishnu Solanki,India,29,WICKETKEEPER,RHB,-,0,Uncapped,20
10,UFA1,K.M. Asif,India,28,BOWLER,RHB,RIGHT ARM Fast,3,Uncapped,20
10,UFA1,Ankit Singh Rajpoot,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,29,Uncapped,20
11,USP1,K.C Cariappa,India,27,BOWLER,RHB,RIGHT ARM Leg Spin,11,Uncapped,20
11,USP1,Sandeep Lamichhane,Nepal,21,BOWLER,RHB,RIGHT ARM Leg Spin,9,Associate,40
11,USP1,R. Sai Kishore,India,25,BOWLER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
11,USP1,M. Siddharth,India,23,BOWLER,RHB,LEFT ARM Slow Orthodox,0,Uncapped,20
12,BA2,Aaron Finch,Australia,35,BATSMAN,RHB,LEFT ARM Slow Orthodox,87,Capped,150
12,BA2,Marnus Labuschagne,Australia,27,BATSMAN,RHB,RIGHT ARM Leg Spin,0,Capped,100
12,BA2,Dawid Malan,England,34,BATSMAN,LHB,RIGHT ARM Leg Spin,1,Capped,150
12,BA2,Eoin Morgan,England,35,BATSMAN,LHB,RIGHT ARM Medium,83,Capped,150
12,BA2,Cheteshwar Pujara,India,34,BATSMAN,RHB,RIGHT ARM Leg Spin,30,Capped,50
12,BA2,Saurabh Tiwary,India,32,BATSMAN,LHB,RIGHT ARM Off Spin,93,Capped,50
14,FA2,Syed Khaleel Ahmed,India,24,BOWLER,RHB,LEFT ARM Fast,24,Capped,50
14,FA2,Sheldon Cottrell,West Indies,32,BOWLER,RHB,LEFT ARM Fast Medium,6,Capped,75
14,FA2,Lungisani Ngidi,South Africa,26,BOWLER,RHB,RIGHT ARM Fast,14,Capped,50
14,FA2,Ishant Sharma,India,33,BOWLER,RHB,RIGHT ARM Fast,93,Capped,150
15,SP2,Qais Ahmad,Afghanistan,21,BOWLER,RHB,RIGHT ARM Leg Spin,0,Capped,50
15,SP2,Piyush Chawla,India,33,BOWLER,LHB,RIGHT ARM Leg Spin,165,Capped,100
15,SP2,Tabraiz Shamsi,South Africa,32,BOWLER,LHB,LEFT ARM Slow Unorthodox,5,Capped,100
15,SP2,Ish Sodhi,New Zealand,29,BOWLER,RHB,RIGHT ARM Leg Spin,8,Capped,50
16,UBA2,Sachin Baby,India,33,BATSMAN,LHB,RIGHT ARM Off Spin,19,Uncapped,20
16,UBA2,Ricky Bhui,India,25,BATSMAN,RHB,RIGHT ARM Off Spin,2,Uncapped,20
16,UBA2,Himanshu Rana,India,23,BATSMAN,RHB,RIGHT ARM Off Spin,0,Uncapped,20
16,UBA2,Harnoor Singh,India,19,BATSMAN,LHB,RIGHT ARM Leg Spin,0,Uncapped,20
16,UBA2,Himmat Singh,India,25,BATSMAN,RHB,RIGHT ARM Off Spin,0,Uncapped,20
16,UBA2,Virat Singh,India,24,BATSMAN,LHB,RIGHT ARM Off Spin,3,Uncapped,20
17,UAL2,Raj Angad Bawa,India,19,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,Uncapped,20
17,UAL2,N. Tilak Varma,India,19,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,Uncapped,20
18,UFA2,Arzan Nagwaswalla,India,24,BOWLER,RHB,LEFT ARM Fast Medium,0,Uncapped,20
18,UFA2,Akash Singh,India,19,BOWLER,RHB,LEFT ARM Fast,1,Uncapped,20
18,UFA2,Yash Thakur,India,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
18,UFA2,Vasu Vats,India,19,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
18,UFA2,Mujtaba Yousuf,India,19,BOWLER,LHB,LEFT ARM Fast,0,Uncapped,20
19,BA3,Chris Lynn,Australia,31,BATSMAN,RHB,LEFT ARM Slow Orthodox,42,Capped,150
19,BA3,Rassie Van Der Dussen,South Africa,33,BATSMAN,RHB,RIGHT ARM Off Spin,0,Capped,100
19,BA3,Najibullah Zadran,Afghanistan,29,BATSMAN,LHB,RIGHT ARM Off Spin,0,Capped,50
20,AL3,Charith Asalanka,Sri Lanka,24,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,0,Capped,50
20,AL3,George Garton,England,24,ALL-ROUNDER,LHB,LEFT ARM Fast,5,Capped,50
21,WK2,Litton Das,Bangladesh,27,WICKETKEEPER,RHB,Not specified,0,Capped,50
21,WK2,Niroshan Dickwella,Sri Lanka,28,WICKETKEEPER,LHB,Not specified,0,Capped,50
21,WK2,Andre Fletcher,West Indies,34,WICKETKEEPER,RHB,Not specified,0,Capped,50
21,WK2,Rahmanullah Gurbaz,Afghanistan,20,WICKETKEEPER,RHB,Not specified,0,Capped,50
